Age,Gender,Nationality,Location/Region,Marital Status,Level of Education (Highest achieved),Occupation,Are you concerned with household shopping (Purchaser),How often do you use eggs?,How many eggs do you use in a week?,What do you do with the eggshells?,"If Other, please specify",Have you read or heard about uses of eggshell powder?,"If Yes, what uses were mentioned?",Do you think there are any health benefits in taking eggshell calcium?,"If Yes, please state any known benefits","If No, please state why",Do you use any calcium fortified products?,"How do you feel about using eggshell calcium to fortify products such as flour, cookies, bread, pasta, cereals and beverages?",Would you be willing to purchase and utilize such products?,Please state why,What would motivate you to buy a product fortified with eggshell calcium,"If Other, please specify",Do you have any concerns about the effects of eggshell powder on the product quality?,"If Yes, what are your concerns?"
18-24,male,ghanaian,Ashanti,single,shs/vocational,Private sector,Yes,Rarely,0-5,Discard,,No,,Yes,source of calciu,,Yes,Don't mind,Yes,healthy,Healthy,,Yes,Safety/Contamination
18-24,male,non-ghanaian,Ashanti,married,tertiary,student,No,Rarely,0-5,Discard,,Yes,Contains calcium,No,,,Yes,Don't mind,Yes,healthy,Healthy,,Yes,Taste
25-35,male,ghanaian,Ashanti,married,tertiary,student,Yes,Rarely,0-5,Discard,,Yes,poultry,No,,,Yes,Don't mind,Yes,healthy,Healthy,,Yes,Taste
25-35,female,ghanaian,Ashanti,married,tertiary,Private sector,Yes,At least once a week (Often),0-5,Discard,,No,,No,,,Yes,Don't mind,Yes,healthy,Healthy,,Yes,Taste
25-35,female,ghanaian,Ashanti,single,tertiary,civil servant,Yes,At least once a week (Often),0-5,Discard,,No,,No,,,Yes,Don't mind,Yes,healthy,Healthy,,Yes,Taste
46-55,female,ghanaian,Ashanti,single,tertiary,Private sector,No,At least once a week (Often),0-5,Discard,,No,,No,,,Yes,Don't mind,Yes,healthy,Healthy,,Yes,Taste
18-24,male,ghanaian,Ashanti,single,tertiary,civil servant,No,At least once a week (Often),0-5,Discard,,No,,No,,,Yes,Don't mind,Yes,healthy,Healthy,,Yes,Taste
18-24,male,ghanaian,Ashanti,single,tertiary,student,No,At least once a week (Often),0-5,Discard,,No,,No,,,Yes,Don't mind,Yes,would like to try something new,Healthy,,Yes,Taste
18-24,male,ghanaian,Ashanti,married,tertiary,Private sector,Yes,At least once a week (Often),06-Dec,Discard,,No,,No,,,Yes,Don't mind,Yes,good for bones,Healthy,,Yes,Safety/Contamination
18-24,male,ghanaian,Ashanti,single,tertiary,student,No,Rarely,0-5,Discard,,No,,No,,,Yes,Don't mind,Yes,healthy,Healthy,,Yes,Taste
18-24,male,ghanaian,Ashanti,single,tertiary,Private sector,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,poultry,No,,,Yes,Like it and woud want to try such products,Yes,healthy,Healthy,,Yes,Taste
18-24,male,ghanaian,Ashanti,single,tertiary,student,No,At least once every 3 days (Very often),0-5,Discard,,Yes,Contains calcium,Yes,Helps bones and teeth,,No,Have mixed feelings,Yes,healthy,Healthy,,Yes,Taste
18-24,male,ghanaian,Ashanti,single,tertiary,student,No,Rarely,0-5,Discard,,Yes,poultry,No,,,No,Have mixed feelings,Yes,healthy,Healthy,,Yes,Health risk
18-24,male,ghanaian,Ashanti,single,tertiary,civil servant,No,At least once a week (Often),0-5,Discard,,No,,No,,,No,Have mixed feelings,Yes,healthy,Healthy,,Yes,Safety/Contamination
18-24,male,ghanaian,Ashanti,single,tertiary,civil servant,No,At least once a week (Often),0-5,Discard,,No,,No,,,No,Have mixed feelings,No,I don't know,Healthy,,Yes,
18-24,female,ghanaian,Ashanti,single,tertiary,unemployed,Yes,At least once a week (Often),0-5,Discard,,No,,No,,,No,Have mixed feelings,No,Not sure,Healthy,,No,
25-35,female,non-ghanaian,Ashanti,single,shs/vocational,Private sector,No,At least once a week (Often),0-5,Discard,,No,,No,,,No,Have mixed feelings,No,new to me,Healthy,,Yes,Taste
25-35,male,ghanaian,Ashanti,single,tertiary,self employed,No,At least once every 3 days (Very often),0-5,Discard,,No,,No,,,No,Have mixed feelings,No,do not like,Healthy,,Yes,Price
