Age,Gender,Nationality,Location/Region,Marital Status,Level of Education (Highest achieved),Occupation,Are you concerned with household shopping (Purchaser),How often do you use eggs?,How many eggs do you use in a week?,What do you do with the eggshells?,"If Other, please specify",Have you read or heard about uses of eggshell powder?,"If Yes, what uses were mentioned?",Do you think there are any health benefits in taking eggshell calcium?,"If Yes, please state any known benefits","If No, please state why",Do you use any calcium fortified products?,"How do you feel about using eggshell calcium to fortify products such as flour, cookies, bread, pasta, cereals and beverages?",Would you be willing to purchase and utilize such products?,Please state why,What would motivate you to buy a product fortified with eggshell calcium,"If Other, please specify",Do you have any concerns about the effects of eggshell powder on the product quality?,"If Yes, what are your concerns?","If Other, please specify",,
18-24,Female,Ghanaian,Kumasi,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,Yes,For strengthening bones,,Yes,Don't mind,Yes,Because I want to know how it would taste like.,Healthy,,Yes,Safety/Contamination,,,
18-24,Male,Ghanaian,Ashanti,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,I had no idea eggshells were edible.,Yes,Don't mind,Yes,If the long run it will boost my health why not? It sounds great that eggshell powder can be used to enrich other food products. So if that is certainly true I would like to try.,Healthy,,Yes,Taste,,,
46-55,Male,Ghanaian,Eastern,Married,Tertiary,Civil servant,Yes,Rarely,0-5,Discard,,No,,Yes,Source of calcium,,No,Don't mind,Yes,A relatively cheap source of calcium,Healthy,,No,,,,
25-35,Male,Ghanaian,Ashanti,Single,Tertiary,Civil servant,Yes,At least once a week (Often),0-5,Discard,,No,,No,,,Yes,Don't mind,Yes,They are good for the body,Healthy,,No,Safety/Contamination,,,
18-24,Female,Ghanaian,Central,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),0-5,Discard,,Yes,For cleaning,No,,I haven’t heard or read about it,Yes,Don't mind,Yes,"If it’ll give me the advertised health benefits, why not?",Healthy,,Yes,Taste,,,
18-24,Male,Ghanaian,Greater Accra,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,Improve bones and teeth tenacity,,Yes,Like it and would want to try such products,Yes,Due to the health and environmental benefits. Natural deterrent to slugs and snail.,Healthy,,Yes,Health risk,,,
18-24,Male,Ghanaian,Kumasi,Single,Tertiary,Self employed,No,Rarely,0-5,Discard,,No,,No,,Haven’t read about that,Yes,Don't mind,Yes,To try it out,Healthy,,Yes,Taste,,,
18-24,Female,Ghanaian,Ashanti region,Single,Tertiary,Student,Yes,At least once every 3 days (Very often),44536,Discard,,No,,No,,,Yes,Don't mind,Yes,Because of thé nutritional benefit,Healthy,,Yes,Safety/Contamination,,,
25-35,Male,Ghanaian,Accra,Single,Tertiary,Private sector,Yes,Rarely,0-5,Discard,,No,,No,,Haven't heard much about eggshells,No,Would not like it,No,It is new to me,Nothing,It is new to me,No,Health risk,,,
25-35,Male,Ghanaian,Ashanti,Married,Tertiary,Civil servant,Yes,At least once every 3 days (Very often),44536,Discard,,No,,No,,,Yes,Have mixed feelings,No,Don't see the need,Convenience,,No,,,,
25-35,Male,Ghanaian,Kumasi,Single,Tertiary,Private sector,No,At least once every 3 days (Very often),44536,Discard,,Yes,Poultry farming,Yes,Helps poultry to get calcium in great quantities.,,No,Have mixed feelings,No,I dont work under sectors that needs eggshell calcium.,Convenience,,No,,,,
18-24,Male,Ghanaian,Accra,Single,Tertiary,Student,Yes,Rarely,0-5,Discard,,No,,No,,I do not have any idea about eggshell powder or its usefulness.,Yes,Don't mind,Yes,To eat more calcium rich foods.,Healthy,,No,,,,
25-35,Female,Ghanaian,Ashanti,Single,Tertiary,Private sector,Yes,At least once every 3 days (Very often),0-5,Discard,,No,,No,,Never thought about it,Yes,Have mixed feelings,Yes,I'd like to give it a try,Healthy,,No,,,,
18-24,Female,Ghanaian,Kasoa,Single,Tertiary,Student,Yes,At least once a week (Often),0-5,Discard,,No,,Yes,I don't know any yet but I think there's a benefit.,,Yes,Don't mind,Yes,"As long as it is healthy, I will use them.",Healthy,,Yes,Taste,,,
